X	Y
-34.59095	-58.464664
-34.595031	-58.458646
-34.591715	-58.463514
-34.589806	-58.465765
-34.591715	-58.463514
-34.595031	-58.458646
-34.592835	-58.461591
-34.592835	-58.461591
-34.59095	-58.464664
-34.834331	-58.481343
-34.834331	-58.481343
-34.834331	-58.481343
-34.595031	-58.458646
-34.595031	-58.458646
-34.590168	-58.465831
-34.586264	-58.472610
-34.586285	-58.458646
-34.595031	-58.458646
-34.586264	-58.472610
-34.584365	-58.486965
-34.582020	-58.477384
-34.582020	-58.477384
-34.582020	-58.477384
-34.584365	-58.486965
-34.582020	-58.477384
-34.586264	-58.472610
-34.59095	-58.464664
-34.59095	-58.464664
-34.673936	-58.484862
-34.673936	-58.484862
-34.673936	-58.484862
-34.589806	-58.465765
-34.59095	-58.464664
-34.594674	-58.454333
-34.594674	-58.454333
-34.594674	-58.454333
-34.594674	-58.454333
-34.591715	-58.463514
-34.591546	-58.463103
-34.590168	-58.465831
-34.591715	-58.463514
-34.595031	-58.458646
-34.595031	-58.458646
-34.594674	-58.454333
-34.834331	-58.481343
-34.834331	-58.481343
-34.542514	-58.444166
-34.542514	-58.444166
-34.541955	-58.445687
-34.540444	-58.445375
-34.542526	-58.439899
-34.546206	-58.439802
-34.540979	-58.442735
-34.592835	-58.461591
-34.591546	-58.463103
